,Solar
2020-01-17 00:00:00+01:00,0.0
2020-01-17 01:00:00+01:00,0.0
2020-01-17 02:00:00+01:00,0.0
2020-01-17 03:00:00+01:00,0.0
2020-01-17 04:00:00+01:00,0.0
2020-01-17 05:00:00+01:00,0.0
2020-01-17 06:00:00+01:00,0.0
2020-01-17 07:00:00+01:00,0.0
2020-01-17 08:00:00+01:00,34.0
2020-01-17 09:00:00+01:00,133.0
2020-01-17 10:00:00+01:00,231.0
2020-01-17 11:00:00+01:00,299.0
2020-01-17 12:00:00+01:00,326.0
2020-01-17 13:00:00+01:00,308.0
2020-01-17 14:00:00+01:00,216.0
2020-01-17 15:00:00+01:00,80.0
2020-01-17 16:00:00+01:00,6.0
2020-01-17 17:00:00+01:00,0.0
2020-01-17 18:00:00+01:00,0.0
2020-01-17 19:00:00+01:00,0.0
2020-01-17 20:00:00+01:00,0.0
2020-01-17 21:00:00+01:00,0.0
2020-01-17 22:00:00+01:00,0.0
2020-01-17 23:00:00+01:00,0.0
