,Wind Onshore
2020-01-17 00:00:00+01:00,5065.0
2020-01-17 01:00:00+01:00,4955.0
2020-01-17 02:00:00+01:00,4912.0
2020-01-17 03:00:00+01:00,4869.0
2020-01-17 04:00:00+01:00,4834.0
2020-01-17 05:00:00+01:00,4812.0
2020-01-17 06:00:00+01:00,4780.0
2020-01-17 07:00:00+01:00,4686.0
2020-01-17 08:00:00+01:00,4520.0
2020-01-17 09:00:00+01:00,4350.0
2020-01-17 10:00:00+01:00,4158.0
2020-01-17 11:00:00+01:00,3912.0
2020-01-17 12:00:00+01:00,3666.0
2020-01-17 13:00:00+01:00,3470.0
2020-01-17 14:00:00+01:00,3319.0
2020-01-17 15:00:00+01:00,3208.0
2020-01-17 16:00:00+01:00,3141.0
2020-01-17 17:00:00+01:00,3102.0
2020-01-17 18:00:00+01:00,3054.0
2020-01-17 19:00:00+01:00,3003.0
2020-01-17 20:00:00+01:00,2967.0
2020-01-17 21:00:00+01:00,2926.0
2020-01-17 22:00:00+01:00,2850.0
2020-01-17 23:00:00+01:00,2735.0
